Series_Title,comments
Serbuan maut 2: Berandal,
The Imitation Game,
Guardians of the Galaxy,
Blade Runner 2049,
Her,
Bohemian Rhapsody,
The Revenant,
The Perks of Being a Wallflower,
Tropa de Elite 2: O Inimigo Agora é Outro,
The King's Speech,
The Help,
Deadpool,
Darbareye Elly,
Dev.D,
Yip Man,
My Name Is Khan,
Nefes: Vatan Sagolsun,
Slumdog Millionaire,
Black Swan,
Tropa de Elite,
The Avengers,
Persepolis,
Dallas Buyers Club,
The Pursuit of Happyness,
Blood Diamond,
The Bourne Ultimatum,
Bin-jip,
Sin City,
Le scaphandre et le papillon,
G.O.R.A.,
Ratatouille,
Casino Royale,
Kill Bill: Vol. 2,
Vozvrashchenie,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,
Mar adentro,
Cinderella Man,
Kal Ho Naa Ho,
Mou gaan dou,
Pirates of the Caribbean: The Curse of the Black Pearl,
Big Fish,
The Incredibles,
Yeopgijeogin geunyeo,
Dogville,
Vizontele,
Donnie Darko,
Magnolia,
Dancer in the Dark,
The Straight Story,
Pâfekuto burû,
Festen,
Central do Brasil,
The Iron Giant,
Knockin' on Heaven's Door,
Sling Blade,
Secrets & Lies,
Twelve Monkeys,
Kôkaku Kidôtai,
The Nightmare Before Christmas,
Groundhog Day,
Bound by Honor,
Scent of a Woman,
Aladdin,
JFK,
Beauty and the Beast,
Dances with Wolves,
Do the Right Thing,
Rain Man,
Akira,
The Princess Bride,
Der Himmel über Berlin,
Au revoir les enfants,
Tenkû no shiro Rapyuta,
The Terminator,
Gandhi,
Kagemusha,
Being There,
Annie Hall,
Jaws,
Dog Day Afternoon,
Young Frankenstein,
Papillon,
The Exorcist,
Sleuth,
The Last Picture Show,
Fiddler on the Roof,
Il conformista,
Butch Cassidy and the Sundance Kid,
Rosemary's Baby,
Planet of the Apes,
The Graduate,
Who's Afraid of Virginia Woolf?,
The Sound of Music,
Doctor Zhivago,
Per un pugno di dollari,
8½,
Vivre sa vie: Film en douze tableaux,
The Hustler,
La dolce vita,
Rio Bravo,
Anatomy of a Murder,
Touch of Evil,
Cat on a Hot Tin Roof,
Sweet Smell of Success,
The Killing,
The Night of the Hunter,
La Strada,
Les diaboliques,
Stalag 17,
Roman Holiday,
A Streetcar Named Desire,
In a Lonely Place,
Kind Hearts and Coronets,
Rope,
Out of the Past,
Brief Encounter,
Laura,
The Best Years of Our Lives,
Arsenic and Old Lace,
The Maltese Falcon,
The Grapes of Wrath,
The Wizard of Oz,
La règle du jeu,
The Thin Man,
All Quiet on the Western Front,
Bronenosets Potemkin,
Knives Out,
Dil Bechara,
Manbiki kazoku,
Marriage Story,
Call Me by Your Name,
"I, Daniel Blake",
Isle of Dogs,
Hunt for the Wilderpeople,
Captain Fantastic,
Sing Street,
Thor: Ragnarok,
Nightcrawler,
Jojo Rabbit,
Arrival,
Star Wars: Episode VII - The Force Awakens,
Before Midnight,
X-Men: Days of Future Past,
Bir Zamanlar Anadolu'da,
The Artist,
Edge of Tomorrow,
Amour,
The Irishman,
Un prophète,
Moon,
Låt den rätte komma in,
District 9,
The Wrestler,
Jab We Met,
Boyhood,
"4 luni, 3 saptamâni si 2 zile",
Star Trek,
In Bruges,
The Man from Earth,
Letters from Iwo Jima,
The Fall,
Life of Pi,
Fantastic Mr. Fox,
C.R.A.Z.Y.,
Les choristes,
Iron Man,
Shaun of the Dead,
Gegen die Wand,
Mystic River,
Harry Potter and the Prisoner of Azkaban,
Ying xiong,
Hable con ella,
No Man's Land,
Cowboy Bebop: Tengoku no tobira,
The Bourne Identity,
Nueve reinas,
Children of Men,
Almost Famous,
Mulholland Dr.,
Toy Story 2,
Boogie Nights,
Mimi wo sumaseba,
Once Were Warriors,
True Romance,
Trois couleurs: Bleu,
Jûbê ninpûchô,
Carlito's Way,
Edward Scissorhands,
My Left Foot: The Story of Christy Brown,
Crimes and Misdemeanors,
The Untouchables,
Hannah and Her Sisters,
Brazil,
This Is Spinal Tap,
A Christmas Story,
The Blues Brothers,
Manhattan,
All That Jazz,
Dawn of the Dead,
All the President's Men,
La montaña sagrada,
Amarcord,
Le charme discret de la bourgeoisie,
"Aguirre, der Zorn Gottes",
Harold and Maude,
Patton,
The Wild Bunch,
Night of the Living Dead,
The Lion in Winter,
In the Heat of the Night,
Charade,
The Manchurian Candidate,
Spartacus,
L'avventura,
Hiroshima mon amour,
The Ten Commandments,
The Searchers,
East of Eden,
High Noon,
Strangers on a Train,
Harvey,
Miracle on 34th Street,
Notorious,
The Big Sleep,
The Lost Weekend,
The Philadelphia Story,
His Girl Friday,
The Adventures of Robin Hood,
A Night at the Opera,
King Kong,
Freaks,
Nosferatu,
The Gentlemen,
Raazi,
Sound of Metal,
Forushande,
Dunkirk,
Perfetti sconosciuti,
Hidden Figures,
Paddington 2,
Udta Punjab,
Kubo and the Two Strings,
M.S. Dhoni: The Untold Story,
Manchester by the Sea,
Under sandet,
Rogue One,
Captain America: Civil War,
The Hateful Eight,
Little Women,
Loving Vincent,
Pride,
Le passé,
La grande bellezza,
The Lunchbox,
Vicky Donor,
Big Hero 6,
About Time,
English Vinglish,
Kaze tachinu,
Toy Story 4,
La migliore offerta,
Moonrise Kingdom,
How to Train Your Dragon 2,
The Big Short,
Kokuhaku,
Ang-ma-reul bo-at-da,
The Girl with the Dragon Tattoo,
Captain Phillips,
Ajeossi,
Straight Outta Compton,
Madeo,
Chugyeokja,
The Hobbit: The Desolation of Smaug,
Das weiße Band - Eine deutsche Kindergeschichte,
Män som hatar kvinnor,
The Trial of the Chicago 7,
Druk,
The Fighter,
Taken,
The Boy in the Striped Pyjamas,
Once,
The Hobbit: An Unexpected Journey,
Auf der anderen Seite,
Atonement,
Drive,
American Gangster,
Avatar,
Mr. Nobody,
Apocalypto,
Little Miss Sunshine,
Hot Fuzz,
The Curious Case of Benjamin Button,
Veer-Zaara,
Adams æbler,
Pride & Prejudice,
The World's Fastest Indian,
Tôkyô goddofâzâzu,
Serenity,
Walk the Line,
Ondskan,
The Notebook,
Diarios de motocicleta,
Lilja 4-ever,
Les triplettes de Belleville,
Gongdong gyeongbi guyeok JSA,
The Count of Monte Cristo,
Waking Life,
Remember the Titans,
Wo hu cang long,
Todo sobre mi madre,
Cast Away,
The Boondock Saints,
The Insider,
October Sky,
Shrek,
Titanic,
Hana-bi,
Gattaca,
The Game,
Breaking the Waves,
Ed Wood,
What's Eating Gilbert Grape,
Tombstone,
The Sandlot,
The Remains of the Day,
Naked,
The Fugitive,
A Bronx Tale,
Batman: Mask of the Phantasm,
Lat sau san taam,
Night on Earth,
La double vie de Véronique,
Boyz n the Hood,
Misery,
Awakenings,
Majo no takkyûbin,
Glory,
Dip huet seung hung,
Back to the Future Part II,
Mississippi Burning,
Predator,
Evil Dead II,
Ferris Bueller's Day Off,
Down by Law,
The Goonies,
The Color Purple,
The Breakfast Club,
The Killing Fields,
Ghostbusters,
The Right Stuff,
The King of Comedy,
E.T. the Extra-Terrestrial,
Kramer vs. Kramer,
Days of Heaven,
The Outlaw Josey Wales,
The Man Who Would Be King,
The Conversation,
La planète sauvage,
The Day of the Jackal,
Badlands,
Cabaret,
Willy Wonka & the Chocolate Factory,
Midnight Cowboy,
Wait Until Dark,
Guess Who's Coming to Dinner,
Bonnie and Clyde,
My Fair Lady,
Mary Poppins,
The Longest Day,
Jules et Jim,
The Innocents,
À bout de souffle,
Red River,
Key Largo,
To Have and Have Not,
Shadow of a Doubt,
Stagecoach,
The Lady Vanishes,
Bringing Up Baby,
Bride of Frankenstein,
Duck Soup,
Scarface: The Shame of the Nation,
Frankenstein,
Roma,
God's Own Country,
Deadpool 2,
Wind River,
Get Out,
Mission: Impossible - Fallout,
En man som heter Ove,
What We Do in the Shadows,
Omoide no Mânî,
The Theory of Everything,
Kingsman: The Secret Service,
The Fault in Our Stars,
Me and Earl and the Dying Girl,
Birdman or (The Unexpected Virtue of Ignorance),
La vie d'Adèle,
Kai po che!,
The Broken Circle Breakdown,
Captain America: The Winter Soldier,
Rockstar,
Nebraska,
Wreck-It Ralph,
Le Petit Prince,
Detachment,
Midnight in Paris,
The Lego Movie,
Gravity,
Star Trek Into Darkness,
Beasts of No Nation,
The Social Network,
X: First Class,
The Hangover,
Skyfall,
Silver Linings Playbook,
Argo,
(500) Days of Summer,
Harry Potter and the Deathly Hallows: Part 1,
Gake no ue no Ponyo,
Frost/Nixon,
Papurika,
Changeling,
Flipped,
Toki o kakeru shôjo,
Death Note: Desu nôto,
This Is England,
Ex Machina,
Efter brylluppet,
The Last King of Scotland,
Zodiac,
Lucky Number Slevin,
Joyeux Noël,
Control,
Tangled,
Zwartboek,
Brokeback Mountain,
3:10 to Yuma,
Crash,
Kung fu,
The Bourne Supremacy,
The Machinist,
Ray,
Lost in Translation,
Harry Potter and the Goblet of Fire,
Man on Fire,
Coraline,
The Last Samurai,
The Magdalene Sisters,
Good Bye Lenin!,
In America,
I Am Sam,
Adaptation.,
Black Hawk Down,
Road to Perdition,
Das Experiment,
Billy Elliot,
Hedwig and the Angry Inch,
Ocean's Eleven,
Vampire Hunter D: Bloodlust,
"O Brother, Where Art Thou?",
Interstate 60: Episodes of the Road,
"South Park: Bigger, Longer & Uncut",
Office Space,
Happiness,
Training Day,
Rushmore,
Abre los ojos,
Being John Malkovich,
As Good as It Gets,
The Fifth Element,
Le dîner de cons,
Donnie Brasco,
Shine,
Primal Fear,
Hamlet,
A Little Princess,
Do lok tin si,
Il postino,
Clerks,
Short Cuts,
Philadelphia,
The Muppet Christmas Carol,
Malcolm X,
The Last of the Mohicans,
Kurenai no buta,
Glengarry Glen Ross,
A Few Good Men,
Fried Green Tomatoes,
Barton Fink,
Miller's Crossing,
Who Framed Roger Rabbit,
Spoorloos,
Withnail & I,
The Last Emperor,
Empire of the Sun,
Der Name der Rose,
Blue Velvet,
The Purple Rose of Cairo,
After Hours,
Zelig,
The Verdict,
Star Trek II: The Wrath of Khan,
First Blood,
Ordinary People,
Airplane!,
Rupan sansei: Kariosutoro no shiro,
Halloween,
Le locataire,
Love and Death,
The Taking of Pelham One Two Three,
Blazing Saddles,
Serpico,
Enter the Dragon,
Deliverance,
The French Connection,
Dirty Harry,
Where Eagles Dare,
The Odd Couple,
The Dirty Dozen,
Belle de jour,
A Man for All Seasons,
Repulsion,
Zulu,
Goldfinger,
The Birds,
Cape Fear,
Peeping Tom,
The Magnificent Seven,
Les yeux sans visage,
Invasion of the Body Snatchers,
Rebel Without a Cause,
The Ladykillers,
Sabrina,
The Quiet Man,
The Day the Earth Stood Still,
The African Queen,
Gilda,
Fantasia,
The Invisible Man,
Dark Waters,
Searching,
Once Upon a Time... in Hollywood,
Nelyubov,
The Florida Project,
Just Mercy,
Gifted,
The Peanut Butter Falcon,
Victoria,
Mustang,
Guardians of the Galaxy Vol. 2,
Baby Driver,
Only the Brave,
Bridge of Spies,
Incredibles 2,
Moana,
Sicario,
Creed,
Leviafan,
Hell or High Water,
Philomena,
Dawn of the Planet of the Apes,
El cuerpo,
Serbuan maut,
End of Watch,
Kari-gurashi no Arietti,
A Star Is Born,
True Grit,
Hævnen,
Despicable Me,
50/50,
Kick-Ass,
Celda 211,
Moneyball,
La piel que habito,
Zombieland,
Die Welle,
Sherlock Holmes,
The Blind Side,
The Visitor,
Seven Pounds,
Eastern Promises,
Stardust,
The Secret of Kells,
Inside Man,
Gone Baby Gone,
La Vie En Rose,
Huo Yuan Jia,
The Illusionist,
Dead Man's Shoes,
Harry Potter and the Half-Blood Prince,
300,
Match Point,
Watchmen,
Lord of War,
Saw,
"Synecdoche, New York",
Mysterious Skin,
Jeux d'enfants,
Un long dimanche de fiançailles,
The Station Agent,
21 Grams,
Boksuneun naui geot,
Finding Neverland,
25th Hour,
The Butterfly Effect,
28 Days Later...,
Batoru rowaiaru,
The Royal Tenenbaums,
Y tu mamá también,
Harry Potter and the Sorcerer's Stone,
The Others,
Blow,
Enemy at the Gates,
Minority Report,
The Hurricane,
American Psycho,
Lola rennt,
The Thin Red Line,
Mulan,
Fear and Loathing in Las Vegas,
Funny Games,
Dark City,
Sleepers,
Lost Highway,
Sense and Sensibility,
Die Hard: With a Vengeance,
Dead Man,
The Bridges of Madison County,
Apollo 13,
Trois couleurs: Blanc,
Falling Down,
Dazed and Confused,
My Cousin Vinny,
Omohide poro poro,
Delicatessen,
Home Alone,
The Godfather: Part III,
When Harry Met Sally...,
The Little Mermaid,
The Naked Gun: From the Files of Police Squad!,
"Planes, Trains & Automobiles",
Lethal Weapon,
Blood Simple,
On Golden Pond,
Mad Max 2,
The Warriors,
The Muppet Movie,
Escape from Alcatraz,
Watership Down,
Midnight Express,
Close Encounters of the Third Kind,
The Long Goodbye,
Giù la testa,
Kelly's Heroes,
The Jungle Book,
Blowup,
A Hard Day's Night,
Breakfast at Tiffany's,
Giant,
From Here to Eternity,
Lifeboat,
The 39 Steps,
 The Hunger Games The Ballad of Songbirds andSnakes ,
The Marvels,"['lin : fun', 'lin : fun']"
 Tee-Yod ,
 Sup-Pa-Rer ,
 DumbMoney,
RedLife,
 Siam Curse ,
 TIGER3 ,
 NOT FRIENDS ,
 Five Nights at Freddy s ,
 Killers of the Flower Moon ,
 Digimon 02 The Beginning ,
 Doraemon The Movie 2023 ,
 Naga A mystery stories ,
 Tastes of Horror ,
 The Bridge curse Ritual ,
 New Gods Yangjian ,
RENAISSANCE A FILM BY BEYONCE,
NCT NATION To The World in Cinemas,
Sound Euphonium the Movie,
Wish,
Napoleon,
Love Reset,
"Insomniacs After School
",
Lab-Lae-Kham-Cha-Nod,
Arnold Is A Model Student,
Batman Returns (Re-Release),
The Marsh King s Daughter,
Fallen Leaves,
The Boy and the Heron,
4 Kings 2,
Slyth The Hunt Saga,
Supposed,
Trolls Band Together,
Thanksgiving,
Wonka,
The Three Musketeers Milady,
Anatomy of a Fall,
All Fun and Games,
It's Complicated,
Dream Scenario,
Aquaman,
Aquaman and the Lost Kingdom,
Migration,
E-Sarn Zombie,
Awasan-Net-Na-Ri,
Ghost Book,
Ladybug and Cat Noir The Movie,
